Bulldozer,so_yellow
Shattered,hy_crumple_bravo
Demeter,hy_bluepolygon_bravo
Mosaico,hy_ali_tile_bravo
Emerald,an_emerald_bravo
Mayan Dreams,hy_mayan_dreams_bravo
Ocean Foam,am_ossify_blue
Graphite,am_crumple
Bone Pile,sp_skull_diagram_bravo
Zirka,sp_star_bravo
Rust Coat,aq_steel_bravo
X-Ray,cu_xray_m4
X-Ray,cu_xray_p250
Blue Titanium,an_titanium30v
Hexane,hy_bluehex
Hive,hy_redhex
Electric Hive,hy_hive
Hemoglobin,am_ossify_red
Serum,am_electric_red
Blood in the Water,cu_shark
Nightshade,hy_flowers
Water Sigil,hy_water_crest
Blind Spot,hy_modspots
Ghost Camo,sp_camo_wood_blue
Steel Disruption,am_ddpatdense_silver
Cobalt Disruption,am_ddpatdense_peacock
Ash Wood,sp_twigs
VariCamo,hy_varicamo
Night Ops,hy_varicamo_night
Urban Rubble,hy_varicamo_urban
VariCamo Blue,hy_varicamo_blue
CaliCamo,hy_varicamo_desert
Full Stop,hy_varicamo_red
Hunting Blind,sp_mesh_slashes
Teardown,sp_mesh_hot_and_cold
Gator Mesh,sp_mesh_python
Army Mesh,sp_mesh_army
Damascus Steel,aq_damascus
Red Quartz,am_crystallized_red
Cobalt Quartz,am_crystallized_blue
Silver Quartz,am_crystallized_silver
Meteorite,am_crystallized_dark
Pit Viper,hy_snakeskin
Death Rattle,hy_nerodia
Red Python,hy_snakeskin_red
Green Apple,so_green
Franklin,cu_money
Tuxedo,so_orca
Army Sheen,am_army_shine
Caged Steel,am_oval_hex
Emerald Pinstripe,cu_pinstripe_ak47
Night Stripe,sp_nightstripe
Guardian,cu_m4a1-s_elegant
Mehndi,cu_p250_refined
Atomic Alloy,am_alloy_orange
Vulcan,cu_rubber_ak47
Slashed,cu_immortal_ssg08
Torque,cu_progressiv_aug
Retribution,cu_retribution_beretta
The Fuschia Is Now,am_fuschia
Victoria,aq_etched_cz75
Undertow,am_p250_beaded_paint
Titanium Bit,am_fluted_tec9
Heirloom,aq_engraved_deagle
Copper Galaxy,am_copper_flecks
Tread Plate,am_diamond_plate
Panther,so_panther
Stainless,aq_usp_stainless
Blue Fissure,hy_craquelure
Red FragCam,hy_poly_camo
Desert FragCam,hy_poly_camo_desert
Road Rash,cu_usp_sandpapered
Detour,hy_ssg08_marker
Chalice,am_royal
Knight,am_metals
Chainmail,am_chainmail
Hand Cannon,aq_handcannon
Dark Age,am_metal_inlay
Briar,hy_vines
Royal Blue,so_indigo
Indigo,so_indigo_and_grey
Jet Set,cu_well_traveled_ak47
First Class,cu_green_leather
Leather,cu_brown_leather_p90
Commuter,cu_luggage_mac10
Dragon Lore,cu_medieval_dragon_awp
Coach Class,cu_luggage_p2000
Pilot,aq_pilot_deagle
Red Leather,cu_leather_xm1014
Traveler,cu_luggage_sg553
Business Class,cu_luggage_usp-s
Olive Plaid,hy_plaid1
Green Plaid,chy_plaid2
Master Piece,cu_m4a1-s_silence
Jaguar,cu_panther_ak47
Bratatat,cu_bratatat_negev
Reactor,am_nuclear_pattern1_glock
Setting Sun,hy_nuclear_pattern2_mp9
Nuclear Waste,sp_nuclear_pattern3_negev
Bone Machine,am_nuclear_skulls1_xm1014
Styx,am_nuclear_skulls2_famas
Nuclear Garden,am_nuclear_skulls3_mac10
Contamination,hy_nuclear_skulls4_p250
Toxic,hy_nuclear_skulls5_tec9
Chemical Green,so_grey_nuclear_green_bizon
Hot Shot,so_grey_nuclear_orange_five_seven
Cerberus,cu_cerbrus_galil
Wasteland Rebel,cu_tribute_ak47
Grinder,aq_glock_coiled
Murky,am_g3sg1_murky
Basilisk,aq_m4a1s_basilisk
Griffin,cu_m4a4_griffin
Firestarter,sp_mag7_firebitten
Dart,cu_mp9_chevron
Cartel,aq_p250_cartel
Fire Elemental,cu_p2000_fire_elemental
Highwayman,aq_sawedoff_blackgold
Cardiac,cu_scar20_intervention
Delusion,sp_ump45_d-visions
Tranquility,cu_xm1014_caritas
Man-o'-war,am_awp_glory
Urban Shock,cu_elites_urbanstorm
Naga,aq_deagle_naga
Chatterbox,cu_galil_abrasion
Catacombs,cu_glock_deathtoll
龍王 (Dragon King),cu_m4a4_ancestral
System Lock,cu_m249_sektor
Malachite,am_mac10_malachite
Deadly Poison,cu_mp9_deadly_poison
Muertos,cu_p250_mandala
Serenity,cu_sawedoff_deva
Grotto,aq_scar20_leak
Quicksilver,aq_xm1014_sigla
Tiger Tooth,an_tiger_orange
Marble Fade,am_marble_fade
Doppler,am_marbleized
Elite Build,cu_ak47_mastery
Armor Core,aq_mp7_ultramodern
Worm God,aq_awp_twine
Bronze Deco,am_bronze_sparkle
Valence,aq_p250_contour
Monkey Business,cu_fiveseven_banana
Eco,cu_galil_eco
Djinn,aq_famas_jinn
Hyper Beast,cu_m4a1_hyper_beast
Neon Rider,cu_mac10_neonrider
Origami,cu_sawedoff_origami
Pole Position,cu_cz75_precision
Grand Prix,am_ump_racer
Twilight Galaxy,am_aqua_flecks
Chronos,cu_chronos_g3sg1
Hades,hy_hades
Icarus Fell,hy_icarus
Minotaur's Labyrinth,cu_labyrinth
Asterion,sp_labyrinth1
Pathfinder,sp_labyrinth2
Daedalus,sp_labyrinth3
Medusa,cu_medusa_awp
Duelist,gs_mother_of_pearl_elite
Pandora's Box,aa_pandora
Poseidon,cu_poseidon
Moon in Libra,hy_zodiac1
Sun in Leo,hy_zodiac2
Shipping Forecast,hy_zodiac3
Emerald,an_emerald_bravo
Para Green,so_khaki_green
Akihabara Accept,cu_anime_aug
Hydroponic,am_bamboo_jungle
Bamboo Print,hy_bamboo_jungle_ink
Bamboo Shadow,hy_bamboo_jungle_black
Bamboo Forest,hy_bamboo_jungle
Aqua Terrace,am_geometric_steps
Geo Steps,hy_geometric_steps
Counter Terrace,hy_geometric_steps_green
Terrace,hy_geometric_steps_yellow
Neon Kimono,hy_kimono_diamonds
Orange Kimono,hy_kimono_diamonds_orange
Crimson Kimono,hy_kimono_diamonds_red
Mint Kimono,sp_kimono_diamonds
Midnight Storm,am_seastorm
Sunset Storm 壱,am_seastorm_blood
Sunset Storm 弐,am_seastorm_shojo
Daybreak,am_kimono_sunrise
Impact Drill,am_so_keycolors
Seabird,so_aqua
Aquamarine Revenge,cu_ak47_courage_alt
Hyper Beast,cu_m4a1_hyper_beast
Yellow Jacket,cu_cz75a_chastizer
Neural Net,am_famas_dots
Rocket Pop,cu_galilar_particles
Bunsen Burner,aq_glock18_flames_blue
Evil Daimyo,cu_m4a4_evil_daimyo
Nemesis,cu_mp7_nemsis
Ruby Poison Dart,am_mp9_nitrogen
Loudmouth,cu_negev_annihilator
Ranger,cu_nova_ranger
Handgun,aq_p2000_boom
Elite Build,cu_ak47_mastery
Riot,cu_ump45_uproar
Torque,cu_usp_progressiv
Frontside Misty,cu_ak47_winter_sport
Dualing Dragons,cu_dualberretta_dragons
Survivor Z,cu_famas_lenta
Flux,gs_g3sg1_flux_purple
Stone Cold,gs_galil_nightwing
Wraiths,gs_glock18_wrathys
Nebula Crusader,gs_m249_nebula_crusader
Golden Coil,gs_m4a1s_snakebite_gold
Rangeen,cu_mac10_alekhya_duo
Cobalt Core,cu_mag7_myrcene
Special Delivery,cu_mp7_classified
Wingshot,hy_p250_crackshot
Green Marine,gs_scar20_peacemaker03
Big Iron,cu_ssg08_technicality
Kill Confirmed,cu_usp_kill_confirmed
Scumbria,aq_xm1014_scumbria
Point Disarray,cu_ak47_point_disarray
Ricochet,am_aug_jumble
Fuel Rod,cu_bizon_noxious
Corinthian,aq_deagle_corinthian
Retrobution,cu_fiveseven_retrobution
The Executioner,cu_g3sg1_executioner
Royal Paladin,gs_m4a4_royal_squire
Power Loader,cu_negev_impact
Imperial,am_p2000_imperial_red
Shapewood,cu_p90_shapewood
Yorick,gs_sawedoff_necromancer
Outbreak,hy_scar20_jungler
Tiger Moth,gs_sg553_tiger_moth
Avalanche,cu_tec9_avalanche
Teclu Burner,aq_xm1014_hot_rod
Fuel Injector,gs_ak47_supercharged
Photic Zone,cu_bizon_citizen
Kumicho Dragon,aq_deserteagle_kumichodragon
Triumvirate,cu_fiveseven_augmented
Royal Legion,gs_glock18_award
The Battlestar,gs_m4a4_pioneer
Lapis Gator,am_mac10_electricity
Praetorian,gs_mag7_praetorian
Impire,sp_mp7_impire
Necropos,cu_ssg08_necropos
Jambiya,gs_tec9_jambiya
Lead Conduit,gs_usp_voltage
Fleet Flock,cu_aug_swallows
Judgement of Anubis,cu_bizon_Curse
Red Astor,gs_cz75a_redastor
Ventilators,gs_dualberettas_ventilators
Orange Crash,sp_g3sg1_militiaorange
Firefight,gs_galilar_incenerator
Spectre,cu_m249_spectre
Chantico's Fire,cu_m4a1s_soultaker
Bioleak,am_mp9_bioleak
Oceanic,hy_p2000_oceani
Asiimov,cu_p250_asiimov
Fubar,gs_sawedoff_fubar
Atlas,cu_sg553_atlas
Ghost Crusader,gs_ssg08_armacore
Re-Entry,am_tec9_redblast
Primal Saber,cu_ump45_primalsaber
Black Tie,cu_xm1014_spectrum
Lore,Paintkit_cu_lore
Black Laminate,Paintkit_cu_stonewash
Gamma Doppler,am_marbleized_g
Autotronic,gs_autotronic
Bright Water,Paintkit_hy_ocean
Freehand,am_marked_up
Aristocrat,gs_aug_aristocrat
Phobos,gs_awp_phobos
Violent Daimyo,cu_five_seven_daimyo
Wasteland Rebel,cu_glock_wasteland_rebel
Mecha Industries,gs_m4a1_mecha_industries
Desolate Space,cu_m4a4_desolate_space
Carnivore,aq_mac_10_alien_camo
Exo,aq_nova_sci_fi
Imperial Dragon,gs_p2000_imperial_dragon
Iron Clad,gs_p250_metal_panels
Chopper,gs_p90_full_throttle
Harvester,gs_pp_bizon_harvester
Reboot,cu_r8_cybersport
Limelight,cu_sawed_off_lime
Bloodsport,gs_scar20_bloodsport
Aerial,cu_sg553_aerial
Ice Cap,am_tec_9_sea_salt
Neon Revolution,cu_AK47_Anarchy
Syd Mead,gs_AUG_Syd_Mead
Imprint,gs_CZ75_Tread
Directive,aq_Desert_Eagle_Constable
Roll Cage,gs_FAMAS_Rally
Scumbria,aq_Five_Seven_Scumbria
Ventilator,gs_G3SG1_Ventilator
Weasel,cu_Glock18_Weasel
Petroglyph,cu_MAG7_Tribal
Airlock,cu_MP9_Narcis
Dazzle,hy_Negev_Dazzle
Grim,cu_P90_Grimm
Powercore,gs_SCAR20_Powercore
Triarch,cu_SG556_Triarch
Fuel Injector,gs_TEC9_Supercharged
Briefing,cu_UMP45_Metritera
Slipstream,hy_XM1014_Fractal_Blue
Polymer,am_czv2_mf
Ironwork,aq_glock_dark-fall
Dragonfire,cu_ssg08_dragonfire_scope
Royal Consorts,gs_dual_berettas_golden_venice
Mecha Industries,gs_famas_mecha
Cirrus,gs_final_pooldeadv2
Stinger,gs_g3sg1_viper_yellow
Black Sand,cu_galil_ar-camo
Sand Scale,aa_hide-mp9
Flashback,cu_m4a1_flashback
Buzz Kill,gs_m4a4_sector
Sonar,am_mag7_malform
Gila,am_nova_sand
Turf,gs_p2000-sport
Shallow Grave,gs_p90_shallow_grave
Cyrex,cu_usp_cyrex
Wasteland Princess,cu_wp_sawedoff
Bloodsport,gs_ak47_bloodsport
Fever Dream,cu_awp_psychopath
Jungle Slipstream,hy_bizon_torn_green
Blueprint,cu_blueprint_scar
Xiangliu,gs_cz_snakes_purple
Decimator,gs_m4a1_decimator
Oxide Blaze,cu_desert_eagle_corroden
Capillary,cu_fiveseven_vein
Crimson Tsunami,sp_galil_wave
Emerald Poison Dart,sp_m249_frog_original
Akoben,sp_mp7_tribal_yellow
Ripple,am_p250_sputnik
Last Dive,aa_mac10_the_last_dive
Scaffold,gs_ump_abyss
Neo-Noir,cu_usps_noir
Seasons,aq_xm_leaf_fade
Zander,aq_sawedoff_zander2
Death Grip,hy_p90_barebones_blue
Blueprint,cu_usps_blueprint
Orbit Mk01,gs_ak_colony01_red
Cobra Strike,gs_dualberettas_cobra
Macabre,sp_famas_macabre
Hyper Beast,cu_fiveseven_hyperbeast
Sugar Rush,cu_galil_candychaos
Oni Taiji,cu_awp_hannya
Briefing,cu_m4a1s_metritera
Hellfire,cu_m4a4_hellfire
Aloha,am_mac10_aloha
Hard Water,am_mag7_caustic
Metal Flowers,aq_ump45_flameflower
Woodsman,cu_p2000_hunter
Red Rock,cu_p250_axiom
Death's Head,cu_ssg08_deathshead
Cut Out,aq_tec9_chalk_pattern
Morris,aq_sawed-off_flower
Triqua,cu_aug_orange_triangle
The Empress,gs_ak47_empress
High Roller,cu_bizon_all_in
Hunter,gs_g3sg1_cetme_redux
See Ya Later,cu_p250_cybercroc
Goo,cu_mp9_goo
Off World,cu_glock_indigo
Leaded Glass,gs_m4a1_shatter
Oceanic,am_mac10_oceani
Llama Cannon,gs_r8_llamacannon
Cracked Opal,cu_tec9_cracked_opal
Jungle Slipstream,hy_scar20_jungle_slipstream
Phantom,gs_sg553_phantom
Tacticat,gs_cz75_tacticat
Exposure,cu_ump45_x-ray_machine
Ziggy,aq_xm1014_ziggy_anarchy
Stymphalian,gs_aug_stymphalian_birds
Mortis,gs_awp_death
Night Riot,cu_bizon_riot
Flame Test,gs_fiveseven_hot_rod_violet
Moonrise,aa_glock_18_urban_moon_fever
Neo-Noir,cu_m4a4_neo_noir
Bloodsport,gs_mp7_bloodsport
Black Sand,cu_mp9_black_sand
Lionfish,sp_negev_lionfish
Wild Six,gs_nova_anchorite
Urban Hazard,cu_p2000_urban_hazard
Grip,gs_revolver_tread
Aloha,sp_sg533_aloha
SWAG-7,aq_mag7_swag7
Arctic Wolf,cu_ump45_white_fang
Cortex,cu_usp_cut
Oxide Blaze,cu_xm1014_oxide_blaze
Neon Rider,cu_ak_neon_rider
Amber Slipstream,hy_aug_torn_orange
Eco,cu_cz75_eco
Shred,sp_elites_winter_raider
Code Red,gs_deagle_aggressor
High Seas,gs_g3sg1_buccaneer
Warhawk,gs_glock_thunder_dust
Nightmare,cu_m4a1s_nightmare
Capillary,cu_mp9_vein
Toy Soldier,cu_nova_toy_soldier
Traction,gs_p90_tread
PAW,am_awp_pawpaw
Powercore,gs_powercore_mp7
Devourer,cu_sawedoff_devourer
Survivalist,cu_r8_survivalist
Snek-9,cu_tec9_snake
Eye of Athena,cu_famas_owl_orange
Wild Lotus,cu_ak_island_floral
Day Lily,hy_bloom_red
Sunset Lily,sp_bloom_orange
Midnight Lily,am_bloom_blue
Teal Blossom,sp_bud_green
Crimson Blossom,hy_bud_red
Dark Blossom,sp_bud_blue
Banana Leaf,hy_leaf_green
Synth Leaf,hy_leaf_blue
Rust Leaf,sp_leaf_orange
Wild Lily,cu_mp9_island_floral
Sea Calico,hy_flowers_stmarc
Sundown,sp_palm_sunset
Jungle Thicket,sp_palm_green
Surfwood,sp_twigs_beach
Bamboo Garden,hy_bamboo_stmarc
The Prince,gs_awp_enamel
Cinquedea,gs_mag7_glass
Orange Murano,hy_murano_orange
Violet Murano,am_murano_violet
Navy Murano,hy_murano_blue
Dark Filigree,am_ren_dark
Orange Filigree,hy_ren_orange
Red Filigree,am_ren_red
Baroque Red,am_veneto_red
Baroque Purple,hy_veneto_purple
Boroque Sand,hy_veneto_tan
Baroque Orange,am_veneto2
Stained Glass,am_stained_glass
Stone Mosaico,hy_canals_tile
Canal Spray,sp_spray_water
Twin Turbo,cu_dual_elites_rally
Calf Skin,gs_mac10_checker
Vino Primo,gs_p250_checker
Integrale,cu_sg553_rally
Hand Brake,gs_ssg08_checker
Fade,aa_fade_mp7
Dirt Drop,sp_tape_short_rally
Slide,hy_splatter3
Converter,hy_red_hex
Sweeper,sp_mesh_safetyblack
Safety Net,hy_mesh_safetyorange
Check Engine,sp_mesh_safetyred
Brake Light,aa_vertigo_red
High Beam,aa_vertigo_blue
Gungnir,gs_awp_gungnir
Emerald Jörmungandr,am_jorm_green
Flame Jörmungandr,am_jorm_orange
Astral Jörmungandr,am_jorm_blue
Frost Borre,am_knots_silver
Copper Borre,am_knots_brown
Mjölnir,gs_negev_thor
Emerald Quartz,am_crystallized_green
Pyre,hy_gelpen_dark
Barricade,sp_asgard_wall
Moss Quartz,am_crystallized_dark_green
Night Borre,sp_knots_blue
Red Stone,so_rune_stone
Facility Sketch,hy_blueprint_white
Facility Negative,hy_blueprint_aqua
Facility Draft,hy_blueprint_red
Facility Dark,hy_blueprint_bluered
Mainframe,am_circuitboard_silver
Co-Processor,am_circuitboard_aqua
Motherboard,am_circuitboard_green
Random Access,am_circuitboard_orange
Bulkhead,hy_ducts_yellow
Coolant,hy_ducts_green
Mandrel,hy_ducts_grey
Exchanger,hy_ducts_blue
Core Breach,hy_nuclear_hotorange
Acheron,hy_nuclear_skulls_redblue
Nuclear Garden,am_nuclear_skulls_green
Cold Fusion,hy_nuclear_skulls_aqua
Remote Control,gs_tec9_envoy
Control Panel,gs_m4a1s_operator
Lab Rats,hy_labrat_mp5
Asiimov,cu_ak47_asiimov
Momentum,cu_ump_arrows
Neo-Noir,cu_awp_neonoir
Modest Threat,gs_mp9_colony01
Mecha Industries,gs_deagle_mecha
Scavenger,gs_g3sg1_savage
Signal,hy_galil_signal_red
Oxide Blaze,cu_glock18_corroden
Wood Fired,gs_nova_hunter_brute
Phosphor,gs_mp5_festival_drip
Magnesium,gs_m4a4_chopper_ghost
Pipe Down,gs_mac10_exo_pipes
Nevermore,aa_p250_gravediggers
Black Sand,cu_sawedoff_black_sand
Danger Close,gs_sg553_over_heated
Fubar,gs_tec9_fubar
Flashback,cu_usp_flashback
Crypsis,sp_famas_ghost_insects
Uncharted,cu_ak47_aztec
Angry Mob,cu_five_seven_angry
Atheris,cu_awp_viper
Bamboozle,cu_tec9_bamboo
Whitefish,gs_mac10_fish_bait
Light Rail,gs_deagle_exo
Akoben,sp_galil_akoben
Skull Crusher,cu_revolver_oppressor
The Emperor,gs_m4a4_emperor
Momentum,cu_aug_momentum
Gauss,gs_mp5sd_astromatic
Mischief,cu_mp7_racketeer
Verdigris,aq_p250_verdigris
Off World,cu_p90_offworld
Incinegator,cu_xm1014_incinerator
Moonrise,aa_ump45_moonrise_sunset
Embargo,cu_bizon_road_warrior
Rat Rod,gs_ak47_nibbler
Arctic Wolf,cu_aug_whitefang
Containment Breach,cu_awp_virus
Acid Wash,gs_mp5_etch
Decimator,gs_tec9_decimator
Plume,cu_nova_featherswing
Black Sand,cu_g3sg1_blacksand
Memento,gs_r8_memento
Neon Ply,cu_mp7_replica
Obsidian,cu_p2000_obsidian
Balance,gs_dual_elites_rose
Torn,sp_scar20_striker_dust
Colony IV,cu_sg553_reactor
Stalker,gs_mac10_stalker
Bloodshot,cu_ssg08_tickler
Warbird,gs_m249_warbird_veteran
Aztec,aq_m249_aztec
Elite 1.6,gs_dual_elites_classic
Decommissioned,cu_famas_nuke_tension
Flash Out,cu_tec9_flash
Buddy,cu_fiveseven_gsg9
Inferno,gs_p250_inferno
Classic Crate,gs_mac10_dust_crate
Popdog,gs_mag7_popdog
Hydra,cu_mp9_hydra
Nostalgia,cu_p90_nostalgia
Death by Puppy,am_aug_death_by_doggy
Assault,cu_scar_assault
Agent,gs_mp5_fbi
Plastique,cu_ump_bomb
Wildfire,cu_awp_wildfire
Sacrifice,cu_glock_hero
Commemoration,gs_famas_legacy_gold
Doppler,am_ruby_marbleized
Doppler,am_sapphire_marbleized
Doppler,am_blackpearl_marbleized
Doppler,am_doppler_phase1
Doppler,am_doppler_phase2
Doppler,am_doppler_phase3
Doppler,am_doppler_phase4
